n_keep,beta,K,wm_N,wm_mean,wm_var,wm_std,wm_min,wm_q10,wm_q50,wm_q90,wm_max,rnd_N,rnd_mean,rnd_var,rnd_std,rnd_min,rnd_q10,rnd_q50,rnd_q90,rnd_max
12,0.011719,1024,525,1.3060536799,0.2714186632,0.5209785631,0.4443155924,0.7893473307,1.1583251953,2.0861653646,3.1866861979,525,3.1054117063,0.0119274777,0.1092129924,2.8175455729,2.9634440104,3.1072591146,3.2410481771,3.4010416667
18,0.017578,1024,525,1.4882572493,0.3759565057,0.6131529219,0.4602864583,0.8461697049,1.2918294271,2.4257269965,3.3143446181,525,3.2173342427,0.0098281569,0.0991370612,2.9076605903,3.0903862847,3.2166883681,3.3445095486,3.5037977431
24,0.023438,1024,525,1.6524737064,0.4616494469,0.6794478986,0.4723917643,0.8923624674,1.5003255208,2.6620035807,3.4028320312,525,3.3009779576,0.0086287585,0.0928911108,2.9837239583,3.1771158854,3.2978515625,3.4206380208,3.5722656250
30,0.029297,1024,525,1.7973608786,0.5325964296,0.7297920454,0.4821451823,0.9350260417,1.6906087240,2.8328027344,3.4709635417,525,3.3693619792,0.0077378093,0.0879648184,3.0486979167,3.2594075521,3.3682942708,3.4850911458,3.6263020833
36,0.035156,1024,525,1.9232417096,0.5912017146,0.7688964265,0.4899631076,0.9618326823,1.9491509332,2.9796115451,3.5211046007,525,3.4278645833,0.0070494481,0.0839609913,3.1010199653,3.3250759549,3.4273003472,3.5343532986,3.6735568576
42,0.041016,1024,525,2.0326579883,0.6394606445,0.7996628318,0.4964308966,0.9855143229,2.1414969308,3.0809616815,3.5625000000,525,3.4792838542,0.0065597785,0.0809924594,3.1484375000,3.3807477679,3.4805152530,3.5783482143,3.7199125744
48,0.046875,1024,525,2.1297688899,0.6786730027,0.8238161219,0.5023803711,1.0195129395,2.2981770833,3.1682596842,3.6016845703,525,3.5253710162,0.0061712760,0.0785574691,3.1905924479,3.4274332682,3.5263671875,3.6205240885,3.7601318359
54,0.052734,1024,525,2.2178662282,0.7096707623,0.8424195881,0.5080747251,1.0654134115,2.4429886429,3.2395543981,3.6358868634,525,3.5670396550,0.0058981686,0.0767995349,3.2318070023,3.4715422454,3.5689380787,3.6597945602,3.7990089699
60,0.058594,1024,525,2.2980230112,0.7346536289,0.8571193784,0.5135823568,1.0942366536,2.5715738932,3.3002050781,3.6670898437,525,3.6051027406,0.0057086687,0.0755557327,3.2686197917,3.5136914062,3.6066731771,3.6956966146,3.8337565104
66,0.064453,1024,525,2.3720222806,0.7536775640,0.8681460499,0.5190281723,1.1140166312,2.6850363991,3.3568152225,3.6953125000,525,3.6402986337,0.0055426786,0.0744491680,3.3053089489,3.5508641098,3.6419566761,3.7285274621,3.8643169981
