n_keep,beta,K,N,components,weight,mean,std,AIC,BIC
12,0.011719,1024,525,1,1.0000000000,1.3060536799,0.5204831172,808.2358,816.7626
18,0.017578,1024,525,1,1.0000000000,1.4882572493,0.6125695047,979.2866,987.8133
24,0.023438,1024,525,1,1.0000000000,1.6524737064,0.6788012335,1087.0860,1095.6128
30,0.029297,1024,525,1,1.0000000000,1.7973608786,0.7290973599,1162.1391,1170.6659
36,0.035156,1024,525,1,1.0000000000,1.9232417096,0.7681644460,1216.9456,1225.4723
42,0.041016,1024,525,1,1.0000000000,2.0326579883,0.7989015110,1258.1412,1266.6679
48,0.046875,1024,525,1,1.0000000000,2.1297688899,0.8230317686,1289.3862,1297.9130
54,0.052734,1024,525,1,1.0000000000,2.2178662282,0.8416174954,1312.8336,1321.3604
60,0.058594,1024,525,1,1.0000000000,2.2980230112,0.8563032691,1330.9975,1339.5243
66,0.064453,1024,525,1,1.0000000000,2.3720222806,0.8673194266,1344.4194,1352.9462
