distortion,method,tau_patch,m_match,beta,tau_mean,n_keep,AUC,ACC,TPR,FPR,TP,TN,FP,FN,wm_stat,orig_stat,wm_median,orig_median
Blur_4,MEAN,,,0.01171875,2.8,12,0.854,0.76,0.5399999999999892,0.019999999999999598,27,49,1,23,2.7151806640625,3.0095898437499993,2.759602864583333,3.005289713541667
Blur_4,SEAL,2.3,5,,,,0.5928,0.52,0.039999999999999196,0.0,2,50,0,48,2.1,0.16,1.0,0.0
Blur_4,SEAL,2.3,6,,,,0.5928,0.52,0.039999999999999196,0.0,2,50,0,48,2.1,0.16,1.0,0.0
Blur_4,SEAL,2.3,7,,,,0.5928,0.52,0.039999999999999196,0.0,2,50,0,48,2.1,0.16,1.0,0.0
Blur_4,SEAL,2.3,8,,,,0.5928,0.52,0.039999999999999196,0.0,2,50,0,48,2.1,0.16,1.0,0.0
Blur_4,SEAL,2.3,9,,,,0.5928,0.52,0.039999999999999196,0.0,2,50,0,48,2.1,0.16,1.0,0.0
Blur_4,SEAL,2.3,10,,,,0.5928,0.52,0.039999999999999196,0.0,2,50,0,48,2.1,0.16,1.0,0.0
Blur_4,SEAL,2.3,11,,,,0.5928,0.52,0.039999999999999196,0.0,2,50,0,48,2.1,0.16,1.0,0.0
Blur_4,SEAL,2.3,12,,,,0.5928,0.52,0.039999999999999196,0.0,2,50,0,48,2.1,0.16,1.0,0.0
Blur_4,SEAL,2.3,13,,,,0.5928,0.52,0.039999999999999196,0.0,2,50,0,48,2.1,0.16,1.0,0.0
Blur_4,SEAL,2.3,14,,,,0.5928,0.52,0.039999999999999196,0.0,2,50,0,48,2.1,0.16,1.0,0.0
Blur_4,SEAL,2.3,15,,,,0.5928,0.51,0.019999999999999598,0.0,1,50,0,49,2.1,0.16,1.0,0.0
Blur_6,MEAN,,,0.01171875,2.8,12,0.6232,0.59,0.27999999999999436,0.099999999999998,14,45,5,36,2.8566943359375,2.9306787109375,2.891031901041667,2.938191731770833
Blur_6,SEAL,2.3,5,,,,0.26,0.5,0.0,0.0,0,50,0,50,0.46,0.28,0.0,0.0
Blur_6,SEAL,2.3,6,,,,0.26,0.5,0.0,0.0,0,50,0,50,0.46,0.28,0.0,0.0
Blur_6,SEAL,2.3,7,,,,0.26,0.5,0.0,0.0,0,50,0,50,0.46,0.28,0.0,0.0
Blur_6,SEAL,2.3,8,,,,0.26,0.5,0.0,0.0,0,50,0,50,0.46,0.28,0.0,0.0
Blur_6,SEAL,2.3,9,,,,0.26,0.5,0.0,0.0,0,50,0,50,0.46,0.28,0.0,0.0
Blur_6,SEAL,2.3,10,,,,0.26,0.5,0.0,0.0,0,50,0,50,0.46,0.28,0.0,0.0
Blur_6,SEAL,2.3,11,,,,0.26,0.5,0.0,0.0,0,50,0,50,0.46,0.28,0.0,0.0
Blur_6,SEAL,2.3,12,,,,0.26,0.5,0.0,0.0,0,50,0,50,0.46,0.28,0.0,0.0
Blur_6,SEAL,2.3,13,,,,0.26,0.5,0.0,0.0,0,50,0,50,0.46,0.28,0.0,0.0
Blur_6,SEAL,2.3,14,,,,0.26,0.5,0.0,0.0,0,50,0,50,0.46,0.28,0.0,0.0
Blur_6,SEAL,2.3,15,,,,0.26,0.5,0.0,0.0,0,50,0,50,0.46,0.28,0.0,0.0
